ID;Cost_claims_year;Cost_claims_by_type;Claims_type
28;332.02;332.02;complaint
36;57.35;57.35;travel assistance
42;57.5;57.5;travel assistance
60;138.9;67.25;travel assistance
60;138.9;71.65;travel assistance
77;1574.93;1574.93;complaint
78;257.36;257.36;complaint
95;471.66;321.41;broken windows
95;471.66;150.25;broken windows
96;56.39;56.39;travel assistance
103;67.25;67.25;travel assistance
110;305.46;305.46;broken windows
114;188.12;52.09;travel assistance
114;188.12;68.92;travel assistance
114;188.12;67.11;travel assistance
122;60.62;60.62;travel assistance
137;65.06;65.06;travel assistance
140;792.95;51.95;travel assistance
140;792.95;741;negligence
150;409.59;409.59;complaint
156;82.34;82.34;travel assistance
157;84.62;84.62;complaint
163;51.95;51.95;travel assistance
170;1461.4;144.4;travel assistance
170;1461.4;1317;negligence
171;67.11;67.11;travel assistance
177;213.77;128.76;broken windows
177;213.77;85.01;broken windows
203;149.13;149.13;travel assistance
209;49.95;49.95;travel assistance
215;932.76;932.76;broken windows
228;1870.33;1870.33;negligence
235;52.09;52.09;travel assistance
249;162.21;87.01;travel assistance
249;162.21;75.2;travel assistance
265;201.23;149.28;travel assistance
265;201.23;51.95;travel assistance
266;90.48;90.48;travel assistance
272;155.15;67.11;travel assistance
272;155.15;88.04;complaint
275;363.04;363.04;complaint
299;3003.86;234.68;complaint
299;3003.86;2769.18;negligence
302;143.57;64.32;travel assistance
302;143.57;79.25;travel assistance
308;882;882;negligence
311;49.95;49.95;travel assistance
329;104.18;104.18;travel assistance
333;3063.64;3013.69;all risks
333;3063.64;49.95;travel assistance
346;375.33;375.33;broken windows
360;122.45;122.45;travel assistance
361;617.58;617.58;complaint
377;1048.96;934.41;negligence
377;1048.96;64.46;travel assistance
377;1048.96;50.09;travel assistance
392;72.1;72.1;travel assistance
397;435.85;435.85;complaint
421;94.5;94.5;travel assistance
442;436.32;436.32;complaint
456;142.82;142.82;travel assistance
464;718.65;718.65;complaint
473;52.09;52.09;travel assistance
480;162.87;67.25;travel assistance
480;162.87;95.62;travel assistance
484;1759.74;1759.74;all risks
512;1032.9;0;broken windows
512;1032.9;1032.9;all risks
513;1297.32;1297.32;complaint
519;718.39;718.39;complaint
521;489.09;489.09;complaint
537;1700.3;1700.3;complaint
567;948.4;948.4;all risks
585;1870.33;1870.33;negligence
587;145.63;145.63;theft
594;1453.2;1453.2;all risks
607;217.28;115.97;travel assistance
607;217.28;101.31;travel assistance
610;153.72;101.77;travel assistance
610;153.72;51.95;travel assistance
613;292.73;292.73;broken windows
629;395.34;395.34;complaint
638;128.38;128.38;travel assistance
641;397.71;0;complaint
641;397.71;120.75;travel assistance
641;397.71;276.96;travel assistance
667;105.96;105.96;complaint
670;155.62;155.62;travel assistance
702;1390.19;553.43;all risks
702;1390.19;1.98;complaint
702;1390.19;834.78;all risks
703;233.12;233.12;travel assistance
716;359.51;359.51;all risks
719;251.39;251.39;travel assistance
724;49.95;49.95;travel assistance
726;219.36;219.36;travel assistance
741;57.89;57.89;travel assistance
750;1656.72;66.03;travel assistance
750;1656.72;307.05;all risks
750;1656.72;152.35;travel assistance
750;1656.72;1131.29;all risks
752;460.11;419.63;complaint
752;460.11;40.48;travel assistance
783;57.13;57.13;broken windows
784;70.6;70.6;travel assistance
788;415.46;415.46;complaint
790;113.71;113.71;travel assistance
793;65.48;65.48;travel assistance
796;221.43;70.71;travel assistance
796;221.43;70.57;travel assistance
796;221.43;80.15;travel assistance
806;436.53;315.23;complaint
806;436.53;121.3;travel assistance
823;526.43;526.43;travel assistance
826;882;882;negligence
838;88.57;88.57;travel assistance
841;152.27;152.27;travel assistance
